Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
6782ad0c3efc0d0520dc2088e952c504f6a069c36a0308b88c7daadd600250a9,69.98,2.83,22130,33713
68dd91e49256ee61ca05a5309db255e9ffe23e8df680ace95d48346e2a39c260,13.68,0.96,2841,4591
6924479c42b3732e0d57b34714b7210e14655ee1ca570ae4aab1d90c3f6c6428,8.24,0.25,161,241
6a844a3775a9a5076103f52bf847087aeb18f7d06d84a5f0dfff13ca65f9ddd1,116.7,23.92,40170,55781
6ad9bf98158f7cd15ec41798f1e48659f3c426b87a44b247bd71494705ea36ad,17.86,0.84,4809,7272
6ef2e1dcc973803f396960fcf1199cb037af1a3fd92bd81a8850fd764b8f9d98,129.03,0.02,3,2
703d9ded2d69eac83f9e4d1f94b283d01d4592fe4fcf37dfffcb21bedc45a6ab,1533.26,1.82,17247,28894
70afd8efb34382badead93ae104d958256de6be8054227ccc85fe95d5c5f9db0,71.3,3.13,22130,33713
7192f002384780797b689dcb8dbed4b1016bc2c1a6c9b3cebbe9bfe1fc05e822,19.35,1.34,6337,9274
72cd5155f579dafc07836de6d17f096ce820fa3d087035f23a344b4530f63f09,15.37,0.43,3136,4514
736de79e0a2d08156bae608b2a3e63336829d59d38d61907642149a566ebd270,64.88,4.76,43380,66773
7374d208a9aa97e683476c1490eb640a00d796af2c36c66864e0250292a2738c,17.92,0.68,4809,7272
74fbb7885ee486028fe2723f95911474b771f361b2b40ddb77c46f252059c696,135.09,5.5,42359,63379
753f9b5d1014db1c944f285810e7f23273a8899dcc6b84651d7fa06b47abc2f0,69.93,4.17,36064,52768
75d6531f631c6088552be3e4b1c76a34e4009b03c13af1971cd9c3b0722095fa,54.28,1.08,5898,9264
75d8f3368cde3f851b043bcedfb948e603da880d4b2d1a94bddfebbdefb56aa3,24.34,1.11,6042,9055
7731d73e048a351205615821b90ed4f2507abc65acf4d6fe30ecdb211f0b0872,56.99,4.45,35337,53553
78c16de9fc07f1d0375a093903f86583a4e32037a7da8aa2f90ecb15c4862c17,7.68,0.06,70,94
78d75669390e4177597faf9271ce3ad3a16a3652e145913dbfa9a5951972fcb0,136.02,5.98,42359,63379
7a42a2591858a6901ad37d4669a9c9a78a981b1d670c3dbfeef23500eae972c1,19.64,1.09,6337,9274
7adee0f8f400d72b70d34b9bd90b3559c71d7f0f5b2695b5ed70e733e76d9e46,229.74,22.96,189492,295344
7b54b8972d8f870cb5cf66a4f9a92c78b56395ac802fb3d4bf05b18bbab9d5a4,32.98,1.68,13946,21224
7b7334219783d3c2426626f1d238e36709a2bb9dc1d2cb5722174ae35dff5478,126.88,17.57,140014,216988
7be901c5f7ffeb8f99e4f5813c259d0227335680380ed06df03fb836a041cb06,21.21,0.76,5328,7904
7cd7c04c62d2a8b4697ceebbe7dd95c910d687e4a6989c1d839117e55c1cafd7,58.03,3.78,35337,53553
7cef8665e7f5032d331e0ba5f0766aefaa537dce41343fa67434d0a98ecfdacd,25.47,1.27,6042,9055
7dabe5d40c13c7c342b7182eaf7c63fbb5e326300316f6f6518b527d57e79ac8,67.25,11.43,89426,140887
7f104a3dfda3a7fbdd9b910d00b0169328c5d2facc10dc17b4378612ffa82d51,26.44,1.3,8583,13056
80908a51e403efd47b1d3689c3fb9447d3fb962d691d856b8b97581eefc0c441,29.37,1.84,9689,14834
80e3a04fa68be799b3c91737e1918f8394b250603a231a251524244e4d7f77d9,71.75,2.84,22130,33713
81a71a75543c8060e5cad9dd7e148ca0ef27f18e3b1c0747e225e4b38b85c8e0,7.32,0.24,76,96
81f0cbb2544e3e4ccbaf582c80297cbfafdf9e8e95b137dc810c535d2cd4b1f8,26.01,1.62,8583,13056
8251fc8739e539c1d7c0ffc93d993a86fc95ffb836422b432c78e6ce107c168a,25.61,0.96,6517,9748
